Number Of K,iteration,accuracy,train-time,test-time
49,6,89.5826264,0,1.030817986
49,7,89.5826264,0.015215874,1.047152996
49,8,89.5826264,0.015688181,1.062047958
49,9,89.5826264,0.015693903,1.047230959
51,0,89.61655921,0.015219212,1.015818834
51,1,89.61655921,0,1.015370131
51,2,89.61655921,0.015707016,1.047078848
51,3,89.61655921,0.015743971,1.062164068
51,4,89.61655921,0.015699148,1.031354904
51,5,89.61655921,0.015776873,0.999690056
51,6,89.61655921,0.015733004,1.156126022
51,7,89.61655921,0,1.031212807
51,8,89.61655921,0,1.078122139
51,9,89.61655921,0.015677929,1.078371048
53,0,89.34509671,0,1.109394073
53,1,89.34509671,0,1.000308037
53,2,89.34509671,0.015697002,0.99958992
53,3,89.34509671,0.015676022,1.078540087
53,4,89.34509671,0.015221834,1.031639099
53,5,89.34509671,0.015314102,1.046736002
53,6,89.34509671,0.015718937,1.062427044
53,7,89.34509671,0.015702963,1.062633991
53,8,89.34509671,0.015715837,0.999752998
53,9,89.34509671,0.015675068,1.000263929
55,0,89.34509671,0.015202999,1.000367165
55,1,89.34509671,0.015725851,1.077803135
55,2,89.34509671,0.01569891,1.047065973
55,3,89.34509671,0.015217066,1.078506947
55,4,89.34509671,0.015478134,1.015808821
55,5,89.34509671,0.015219212,1.125026941
55,6,89.34509671,0,1.078437805
55,7,89.34509671,0.015284061,1.031548023
55,8,89.34509671,0,1.015642881
55,9,89.34509671,0.015720129,1.06268096
57,0,89.27723108,0.015688896,1.062498093
57,1,89.27723108,0,1.046546936
57,2,89.27723108,0.015215158,1.078505993
57,3,89.27723108,0.015728951,1.031023026
57,4,89.27723108,0.015664816,1.218831062
57,5,89.27723108,0.015221119,1.109663963
57,6,89.27723108,0,1.015344858
57,7,89.27723108,0.015762091,0.984477043
57,8,89.27723108,0,1.077867985
57,9,89.27723108,0.015742064,1.125090837
59,0,89.37902952,0.015725136,1.125097036
59,1,89.37902952,0.015244961,1.062772989
59,2,89.37902952,0.015697002,1.046530962
59,3,89.37902952,0.015716076,1.03116703
59,4,89.37902952,0.015743971,0.968638897
59,5,89.37902952,0.015722036,1.062464952
59,6,89.37902952,0.015704155,1.093647003
59,7,89.37902952,0.015694857,1.015816927
59,8,89.37902952,0.015210152,1.016008854
59,9,89.37902952,0.015222073,1.031233072
