iteration,classifier,accuracy,train-time,test-time
6,naivebayes-GaussianNB,65.52426196131658,0.12417078018188477,0.20879912376403809
6,naivebayes-MultinomialNB,77.29894808279606,0.02546405792236328,0.0057909488677978516
6,naivebayes-ComplementNB,48.761452324397695,0.025295019149780273,0.00587916374206543
6,perceptron,94.84221241940956,0.9030609130859375,0.008005142211914062
6,logisticregression,95.75839837122497,16.16864013671875,0.004744052886962891
6,gaussianmixture-GaussianMixture,37.49575839837122,33.870285987854004,0.3374910354614258
6,gaussianmixture-BayesianGaussianMixture,0.7465218866644044,103.68196105957031,0.4342489242553711
6,svm-NuSVC,92.53478113335596,22.959943056106567,16.62196183204651
6,svm-LinearSVC,96.60671869697998,5.6283979415893555,0.0068972110748291016
6,svm-SVC,94.02782490668477,3.693150043487549,6.749579906463623
6,kneighbors,90.46487953851374,0.009559869766235352,1.0594451427459717
